observation_date,MVLOAS
1943-01-01,0.47400
1943-04-01,0.38400
1943-07-01,0.35300
1943-10-01,0.33900
1944-01-01,0.32400
1944-04-01,0.35200
1944-07-01,0.38000
1944-10-01,0.37800
1945-01-01,0.36500
1945-04-01,0.37200
1945-07-01,0.38900
1945-10-01,0.44300
1946-01-01,0.51200
1946-04-01,0.64900
1946-07-01,0.78900
1946-10-01,0.96800
1947-01-01,1.20700
1947-04-01,1.47800
1947-07-01,1.66300
1947-10-01,1.89700
1948-01-01,2.21000
1948-04-01,2.53300
1948-07-01,2.85900
1948-10-01,2.96500
1949-01-01,3.12600
1949-04-01,3.65400
1949-07-01,4.15000
1949-10-01,4.47800
1950-01-01,4.79300
1950-04-01,5.43100
1950-07-01,6.13000
1950-10-01,6.01500
1951-01-01,5.84100
1951-04-01,5.97400
1951-07-01,6.13400
1951-10-01,5.95800
1952-01-01,5.80400
1952-04-01,6.61600
1952-07-01,6.99000
1952-10-01,7.63500
1953-01-01,8.28400
1953-04-01,9.10700
1953-07-01,9.62800
1953-10-01,9.68500
1954-01-01,9.28900
1954-04-01,9.51100
1954-07-01,9.69900
1954-10-01,9.74700
1955-01-01,10.35400
1955-04-01,11.73400
1955-07-01,13.03500
1955-10-01,13.47100
1956-01-01,13.75800
1956-04-01,14.27500
1956-07-01,14.56200
1956-10-01,14.48400
1957-01-01,14.50600
1957-04-01,15.04900
1957-07-01,15.49800
1957-10-01,15.47200
1958-01-01,14.86900
1958-04-01,14.68100
1958-07-01,14.44000
1958-10-01,14.25800
1959-01-01,14.47800
1959-04-01,15.49600
1959-07-01,16.45200
1959-10-01,16.63200
1960-01-01,16.91000
1960-04-01,17.84700
1960-07-01,18.17300
1960-10-01,18.08300
1961-01-01,17.51600
1961-04-01,17.65400
1961-07-01,17.51300
1961-10-01,17.59900
1962-01-01,17.72900
1962-04-01,18.84900
1962-07-01,19.36200
1962-10-01,19.92400
1963-01-01,20.35300
1963-04-01,21.67700
1963-07-01,22.28200
1963-10-01,22.84200
1964-01-01,23.29500
1964-04-01,24.75800
1964-07-01,25.46800
1964-10-01,25.81700
1965-01-01,26.32000
1965-04-01,27.94100
1965-07-01,28.84300
1965-10-01,29.35500
1966-01-01,29.54500
1966-04-01,30.55300
1966-07-01,30.78500
1966-10-01,30.99200
1967-01-01,30.55000
1967-04-01,31.21400
1967-07-01,31.25100
1967-10-01,31.13100
1968-01-01,31.25200
1968-04-01,32.63000
1968-07-01,33.58300
1968-10-01,34.34800
1969-01-01,34.56800
1969-04-01,36.25400
1969-07-01,36.72800
1969-10-01,36.94600
1970-01-01,36.11900
1970-04-01,36.58800
1970-07-01,37.04700
1970-10-01,36.32500
1971-01-01,36.39600
1971-04-01,38.13900
1971-07-01,39.41200
1971-10-01,40.51900
1972-01-01,42.67200
1972-04-01,45.31700
1972-07-01,46.77200
1972-10-01,47.86200
1973-01-01,48.90400
1973-04-01,51.62100
1973-07-01,53.39100
1973-10-01,53.77200
1974-01-01,52.83400
1974-04-01,54.24100
1974-07-01,55.55700
1974-10-01,54.26600
1975-01-01,53.08500
1975-04-01,53.93500
1975-07-01,55.86200
1975-10-01,57.01600
1976-01-01,58.33200
1976-04-01,62.22700
1976-07-01,65.23700
1976-10-01,66.79800
1977-01-01,68.78700
1977-04-01,73.91900
1977-07-01,78.46800
1977-10-01,80.89400
1978-01-01,83.57900
1978-04-01,90.66800
1978-07-01,95.80500
1978-10-01,98.66000
1979-01-01,102.24000
1979-04-01,107.62100
1979-07-01,111.45300
1979-10-01,112.42000
1980-01-01,113.41300
1980-04-01,111.90000
1980-07-01,112.39900
1980-10-01,111.97100
1981-01-01,112.73000
1981-04-01,115.32300
1981-07-01,120.05900
1981-10-01,119.74400
1982-01-01,119.80600
1982-04-01,123.48300
1982-07-01,124.73100
1982-10-01,127.48100
1983-01-01,127.37000
1983-04-01,133.32700
1983-07-01,141.17800
1983-10-01,146.23700
1984-01-01,151.69800
1984-04-01,161.98400
1984-07-01,170.36800
1984-10-01,175.33300
1985-01-01,182.29000
1985-04-01,193.99700
1985-07-01,207.09500
1985-10-01,211.74700
1986-01-01,214.87000
1986-04-01,227.10200
1986-07-01,244.59300
1986-10-01,247.92100
1987-01-01,246.37200
1987-04-01,254.72000
1987-07-01,266.00000
1987-10-01,266.55200
1988-01-01,270.12900
1988-04-01,278.04900
1988-07-01,286.35100
1988-10-01,285.42090
1989-01-01,285.33100
1989-04-01,290.43100
1989-07-01,293.29200
1989-10-01,290.88500
1990-01-01,287.50200
1990-04-01,289.63700
1990-07-01,290.25800
1990-10-01,283.89100
1991-01-01,275.39600
1991-04-01,269.10400
1991-07-01,267.36300
1991-10-01,264.21400
1992-01-01,262.32800
1992-04-01,259.84300
1992-07-01,264.12400
1992-10-01,263.98700
1993-01-01,265.44600
1993-04-01,271.99000
1993-07-01,281.96700
1993-10-01,289.76800
1994-01-01,294.26200
1994-04-01,308.53900
1994-07-01,322.89200
1994-10-01,330.19800
1995-01-01,333.72800
1995-04-01,342.96800
1995-07-01,356.28900
1995-10-01,367.06900
1996-01-01,370.15900
1996-04-01,383.44837
1996-07-01,394.36107
1996-10-01,397.69037
1997-01-01,392.00491
1997-04-01,403.79995
1997-07-01,413.96398
1997-10-01,423.20582
1998-01-01,422.97804
1998-04-01,433.80687
1998-07-01,449.03262
1998-10-01,461.63844
1999-01-01,472.46016
1999-04-01,489.51842
1999-07-01,505.67950
1999-10-01,511.02094
2000-01-01,521.21544
2000-04-01,546.78459
2000-07-01,565.91643
2000-10-01,581.22108
2001-01-01,590.38748
2001-04-01,610.16391
2001-07-01,634.38755
2001-10-01,674.20428
2002-01-01,682.28507
2002-04-01,692.42391
2002-07-01,703.20955
2002-10-01,708.79408
2003-01-01,710.08918
2003-04-01,726.90236
2003-07-01,750.35117
2003-10-01,759.48504
2004-01-01,760.29441
2004-04-01,768.02139
2004-07-01,790.24343
2004-10-01,797.86349
2005-01-01,803.80325
2005-04-01,809.58086
2005-07-01,825.21061
2005-10-01,823.09730
2006-01-01,781.94296
2006-04-01,774.14938
2006-07-01,792.09610
2006-10-01,784.97512
2007-01-01,780.93391
2007-04-01,785.89392
2007-07-01,808.94816
2007-10-01,801.15951
2008-01-01,797.72306
2008-04-01,798.13775
2008-07-01,801.67641
2008-10-01,777.27561
2009-01-01,755.68467
2009-04-01,742.02088
2009-07-01,736.77191
2009-10-01,719.08399
2010-01-01,717.93152
2010-04-01,708.05208
2010-07-01,698.39493
2010-10-01,713.49627
2011-01-01,730.08818
2011-04-01,734.45496
2011-07-01,743.75706
2011-10-01,751.04092
2012-01-01,759.33068
2012-04-01,777.54791
2012-07-01,798.39971
2012-10-01,809.24036
2013-01-01,821.43205
2013-04-01,841.20359
2013-07-01,866.53776
2013-10-01,878.18850
2014-01-01,891.65855
2014-04-01,917.50977
2014-07-01,942.62186
2014-10-01,955.28954
2015-01-01,962.36027
2015-04-01,987.55186
2015-07-01,1016.92059
2015-10-01,990.03970
2016-01-01,1000.21551
2016-04-01,1022.17053
2016-07-01,1051.18859
2016-10-01,1062.34130
2017-01-01,1068.02257
2017-04-01,1081.51068
2017-07-01,1093.95689
2017-10-01,1101.99183
2018-01-01,1105.01585
2018-04-01,1115.60425
2018-07-01,1131.41082
2018-10-01,1139.60837
2019-01-01,1144.16908
2019-04-01,1159.95246
2019-07-01,1175.43695
2019-10-01,1184.14151
2020-01-01,1183.90873
2020-04-01,1197.42320
2020-07-01,1218.44325
2020-10-01,1224.44676
2021-01-01,1240.75566
2021-04-01,1353.12345
2021-07-01,1378.86023
2021-10-01,1392.70225
2022-01-01,1410.55654
2022-04-01,1445.19593
2022-07-01,1476.90692
2022-10-01,1499.49428
2023-01-01,1516.38626
2023-04-01,1535.13106
2023-07-01,1552.30990
2023-10-01,1555.30641
2024-01-01,1554.47168
2024-04-01,1561.62299
2024-07-01,1566.44869
